date,services_inflation
2017-01-01,140.2
2017-01-02,140.2
2017-01-03,140.2
2017-01-04,140.2
2017-01-05,140.2
2017-01-06,140.2
2017-01-07,140.2
2017-01-08,140.2
2017-01-09,140.2
2017-01-10,140.2
2017-01-11,140.2
2017-01-12,140.2
2017-01-13,140.2
2017-01-14,140.2
2017-01-15,140.2
2017-01-16,140.2
2017-01-17,140.2
2017-01-18,140.2
2017-01-19,140.2
2017-01-20,140.2
2017-01-21,140.2
2017-01-22,140.2
2017-01-23,140.2
2017-01-24,140.2
2017-01-25,140.2
2017-01-26,140.2
2017-01-27,140.2
2017-01-28,140.2
2017-01-29,140.2
2017-01-30,140.2
2017-01-31,140.2
2017-02-01,140.7
2017-02-02,140.7
2017-02-03,140.7
2017-02-04,140.7
2017-02-05,140.7
2017-02-06,140.7
2017-02-07,140.7
2017-02-08,140.7
2017-02-09,140.7
2017-02-10,140.7
2017-02-11,140.7
2017-02-12,140.7
2017-02-13,140.7
2017-02-14,140.7
2017-02-15,140.7
2017-02-16,140.7
2017-02-17,140.7
2017-02-18,140.7
2017-02-19,140.7
2017-02-20,140.7
2017-02-21,140.7
2017-02-22,140.7
2017-02-23,140.7
2017-02-24,140.7
2017-02-25,140.7
2017-02-26,140.7
2017-02-27,140.7
2017-02-28,140.7
2017-03-01,141.1
2017-03-02,141.1
2017-03-03,141.1
2017-03-04,141.1
2017-03-05,141.1
2017-03-06,141.1
2017-03-07,141.1
2017-03-08,141.1
2017-03-09,141.1
2017-03-10,141.1
2017-03-11,141.1
2017-03-12,141.1
2017-03-13,141.1
2017-03-14,141.1
2017-03-15,141.1
2017-03-16,141.1
2017-03-17,141.1
2017-03-18,141.1
2017-03-19,141.1
2017-03-20,141.1
2017-03-21,141.1
2017-03-22,141.1
2017-03-23,141.1
2017-03-24,141.1
2017-03-25,141.1
2017-03-26,141.1
2017-03-27,141.1
2017-03-28,141.1
2017-03-29,141.1
2017-03-30,141.1
2017-03-31,141.1
2017-04-01,141.4
2017-04-02,141.4
2017-04-03,141.4
2017-04-04,141.4
2017-04-05,141.4
2017-04-06,141.4
2017-04-07,141.4
2017-04-08,141.4
2017-04-09,141.4
2017-04-10,141.4
2017-04-11,141.4
2017-04-12,141.4
2017-04-13,141.4
2017-04-14,141.4
2017-04-15,141.4
2017-04-16,141.4
2017-04-17,141.4
2017-04-18,141.4
2017-04-19,141.4
2017-04-20,141.4
2017-04-21,141.4
2017-04-22,141.4
2017-04-23,141.4
2017-04-24,141.4
2017-04-25,141.4
2017-04-26,141.4
2017-04-27,141.4
2017-04-28,141.4
2017-04-29,141.4
2017-04-30,141.4
2017-05-01,142.0
2017-05-02,142.0
2017-05-03,142.0
2017-05-04,142.0
2017-05-05,142.0
2017-05-06,142.0
2017-05-07,142.0
2017-05-08,142.0
2017-05-09,142.0
2017-05-10,142.0
2017-05-11,142.0
2017-05-12,142.0
2017-05-13,142.0
2017-05-14,142.0
2017-05-15,142.0
2017-05-16,142.0
2017-05-17,142.0
2017-05-18,142.0
2017-05-19,142.0
2017-05-20,142.0
2017-05-21,142.0
2017-05-22,142.0
2017-05-23,142.0
2017-05-24,142.0
2017-05-25,142.0
2017-05-26,142.0
2017-05-27,142.0
2017-05-28,142.0
2017-05-29,142.0
2017-05-30,142.0
2017-05-31,142.0
2017-06-01,142.4
2017-06-02,142.4
2017-06-03,142.4
2017-06-04,142.4
2017-06-05,142.4
2017-06-06,142.4
2017-06-07,142.4
2017-06-08,142.4
2017-06-09,142.4
2017-06-10,142.4
2017-06-11,142.4
2017-06-12,142.4
2017-06-13,142.4
2017-06-14,142.4
2017-06-15,142.4
2017-06-16,142.4
2017-06-17,142.4
2017-06-18,142.4
2017-06-19,142.4
2017-06-20,142.4
2017-06-21,142.4
2017-06-22,142.4
2017-06-23,142.4
2017-06-24,142.4
2017-06-25,142.4
2017-06-26,142.4
2017-06-27,142.4
2017-06-28,142.4
2017-06-29,142.4
2017-06-30,142.4
2017-07-01,142.6
2017-07-02,142.6
2017-07-03,142.6
2017-07-04,142.6
2017-07-05,142.6
2017-07-06,142.6
2017-07-07,142.6
2017-07-08,142.6
2017-07-09,142.6
2017-07-10,142.6
2017-07-11,142.6
2017-07-12,142.6
2017-07-13,142.6
2017-07-14,142.6
2017-07-15,142.6
2017-07-16,142.6
2017-07-17,142.6
2017-07-18,142.6
2017-07-19,142.6
2017-07-20,142.6
2017-07-21,142.6
2017-07-22,142.6
2017-07-23,142.6
2017-07-24,142.6
2017-07-25,142.6
2017-07-26,142.6
2017-07-27,142.6
2017-07-28,142.6
2017-07-29,142.6
2017-07-30,142.6
2017-07-31,142.6
2017-08-01,142.7
2017-08-02,142.7
2017-08-03,142.7
2017-08-04,142.7
2017-08-05,142.7
2017-08-06,142.7
2017-08-07,142.7
2017-08-08,142.7
2017-08-09,142.7
2017-08-10,142.7
2017-08-11,142.7
2017-08-12,142.7
2017-08-13,142.7
2017-08-14,142.7
2017-08-15,142.7
2017-08-16,142.7
2017-08-17,142.7
2017-08-18,142.7
2017-08-19,142.7
2017-08-20,142.7
2017-08-21,142.7
2017-08-22,142.7
2017-08-23,142.7
2017-08-24,142.7
2017-08-25,142.7
2017-08-26,142.7
2017-08-27,142.7
2017-08-28,142.7
2017-08-29,142.7
2017-08-30,142.7
2017-08-31,142.7
2017-09-01,142.8
2017-09-02,142.8
2017-09-03,142.8
2017-09-04,142.8
2017-09-05,142.8
2017-09-06,142.8
2017-09-07,142.8
2017-09-08,142.8
2017-09-09,142.8
2017-09-10,142.8
2017-09-11,142.8
2017-09-12,142.8
2017-09-13,142.8
2017-09-14,142.8
2017-09-15,142.8
2017-09-16,142.8
2017-09-17,142.8
2017-09-18,142.8
2017-09-19,142.8
2017-09-20,142.8
2017-09-21,142.8
2017-09-22,142.8
2017-09-23,142.8
2017-09-24,142.8
2017-09-25,142.8
2017-09-26,142.8
2017-09-27,142.8
2017-09-28,142.8
2017-09-29,142.8
2017-09-30,142.8
2017-10-01,143.0
2017-10-02,143.0
2017-10-03,143.0
2017-10-04,143.0
2017-10-05,143.0
2017-10-06,143.0
2017-10-07,143.0
2017-10-08,143.0
2017-10-09,143.0
2017-10-10,143.0
2017-10-11,143.0
2017-10-12,143.0
2017-10-13,143.0
2017-10-14,143.0
2017-10-15,143.0
2017-10-16,143.0
2017-10-17,143.0
2017-10-18,143.0
2017-10-19,143.0
2017-10-20,143.0
2017-10-21,143.0
2017-10-22,143.0
2017-10-23,143.0
2017-10-24,143.0
2017-10-25,143.0
2017-10-26,143.0
2017-10-27,143.0
2017-10-28,143.0
2017-10-29,143.0
2017-10-30,143.0
2017-10-31,143.0
2017-11-01,142.8
2017-11-02,142.8
2017-11-03,142.8
2017-11-04,142.8
2017-11-05,142.8
2017-11-06,142.8
2017-11-07,142.8
2017-11-08,142.8
2017-11-09,142.8
2017-11-10,142.8
2017-11-11,142.8
2017-11-12,142.8
2017-11-13,142.8
2017-11-14,142.8
2017-11-15,142.8
2017-11-16,142.8
2017-11-17,142.8
2017-11-18,142.8
2017-11-19,142.8
2017-11-20,142.8
2017-11-21,142.8
2017-11-22,142.8
2017-11-23,142.8
2017-11-24,142.8
2017-11-25,142.8
2017-11-26,142.8
2017-11-27,142.8
2017-11-28,142.8
2017-11-29,142.8
2017-11-30,142.8
2017-12-01,142.3
2017-12-02,142.3
2017-12-03,142.3
2017-12-04,142.3
2017-12-05,142.3
2017-12-06,142.3
2017-12-07,142.3
2017-12-08,142.3
2017-12-09,142.3
2017-12-10,142.3
2017-12-11,142.3
2017-12-12,142.3
2017-12-13,142.3
2017-12-14,142.3
2017-12-15,142.3
2017-12-16,142.3
2017-12-17,142.3
2017-12-18,142.3
2017-12-19,142.3
2017-12-20,142.3
2017-12-21,142.3
2017-12-22,142.3
2017-12-23,142.3
2017-12-24,142.3
2017-12-25,142.3
2017-12-26,142.3
2017-12-27,142.3
2017-12-28,142.3
2017-12-29,142.3
2017-12-30,142.3
2017-12-31,142.3
2018-01-01,143.3
2018-01-02,143.3
2018-01-03,143.3
2018-01-04,143.3
2018-01-05,143.3
2018-01-06,143.3
2018-01-07,143.3
2018-01-08,143.3
2018-01-09,143.3
2018-01-10,143.3
2018-01-11,143.3
2018-01-12,143.3
2018-01-13,143.3
2018-01-14,143.3
2018-01-15,143.3
2018-01-16,143.3
2018-01-17,143.3
2018-01-18,143.3
2018-01-19,143.3
2018-01-20,143.3
2018-01-21,143.3
2018-01-22,143.3
2018-01-23,143.3
2018-01-24,143.3
2018-01-25,143.3
2018-01-26,143.3
2018-01-27,143.3
2018-01-28,143.3
2018-01-29,143.3
2018-01-30,143.3
2018-01-31,143.3
2018-02-01,144.3
2018-02-02,144.3
2018-02-03,144.3
2018-02-04,144.3
2018-02-05,144.3
2018-02-06,144.3
2018-02-07,144.3
2018-02-08,144.3
2018-02-09,144.3
2018-02-10,144.3
2018-02-11,144.3
2018-02-12,144.3
2018-02-13,144.3
2018-02-14,144.3
2018-02-15,144.3
2018-02-16,144.3
2018-02-17,144.3
2018-02-18,144.3
2018-02-19,144.3
2018-02-20,144.3
2018-02-21,144.3
2018-02-22,144.3
2018-02-23,144.3
2018-02-24,144.3
2018-02-25,144.3
2018-02-26,144.3
2018-02-27,144.3
2018-02-28,144.3
2018-03-01,144.9
2018-03-02,144.9
2018-03-03,144.9
2018-03-04,144.9
2018-03-05,144.9
2018-03-06,144.9
2018-03-07,144.9
2018-03-08,144.9
2018-03-09,144.9
2018-03-10,144.9
2018-03-11,144.9
2018-03-12,144.9
2018-03-13,144.9
2018-03-14,144.9
2018-03-15,144.9
2018-03-16,144.9
2018-03-17,144.9
2018-03-18,144.9
2018-03-19,144.9
2018-03-20,144.9
2018-03-21,144.9
2018-03-22,144.9
2018-03-23,144.9
2018-03-24,144.9
2018-03-25,144.9
2018-03-26,144.9
2018-03-27,144.9
2018-03-28,144.9
2018-03-29,144.9
2018-03-30,144.9
2018-03-31,144.9
2018-04-01,144.6
2018-04-02,144.6
2018-04-03,144.6
2018-04-04,144.6
2018-04-05,144.6
2018-04-06,144.6
2018-04-07,144.6
2018-04-08,144.6
2018-04-09,144.6
2018-04-10,144.6
2018-04-11,144.6
2018-04-12,144.6
2018-04-13,144.6
2018-04-14,144.6
2018-04-15,144.6
2018-04-16,144.6
2018-04-17,144.6
2018-04-18,144.6
2018-04-19,144.6
2018-04-20,144.6
2018-04-21,144.6
2018-04-22,144.6
2018-04-23,144.6
2018-04-24,144.6
2018-04-25,144.6
2018-04-26,144.6
2018-04-27,144.6
2018-04-28,144.6
2018-04-29,144.6
2018-04-30,144.6
2018-05-01,145.3
2018-05-02,145.3
2018-05-03,145.3
2018-05-04,145.3
2018-05-05,145.3
2018-05-06,145.3
2018-05-07,145.3
2018-05-08,145.3
2018-05-09,145.3
2018-05-10,145.3
2018-05-11,145.3
2018-05-12,145.3
2018-05-13,145.3
2018-05-14,145.3
2018-05-15,145.3
2018-05-16,145.3
2018-05-17,145.3
2018-05-18,145.3
2018-05-19,145.3
2018-05-20,145.3
2018-05-21,145.3
2018-05-22,145.3
2018-05-23,145.3
2018-05-24,145.3
2018-05-25,145.3
2018-05-26,145.3
2018-05-27,145.3
2018-05-28,145.3
2018-05-29,145.3
2018-05-30,145.3
2018-05-31,145.3
2018-06-01,145.5
2018-06-02,145.5
2018-06-03,145.5
2018-06-04,145.5
2018-06-05,145.5
2018-06-06,145.5
2018-06-07,145.5
2018-06-08,145.5
2018-06-09,145.5
2018-06-10,145.5
2018-06-11,145.5
2018-06-12,145.5
2018-06-13,145.5
2018-06-14,145.5
2018-06-15,145.5
2018-06-16,145.5
2018-06-17,145.5
2018-06-18,145.5
2018-06-19,145.5
2018-06-20,145.5
2018-06-21,145.5
2018-06-22,145.5
2018-06-23,145.5
2018-06-24,145.5
2018-06-25,145.5
2018-06-26,145.5
2018-06-27,145.5
2018-06-28,145.5
2018-06-29,145.5
2018-06-30,145.5
2018-07-01,147.1
2018-07-02,147.1
2018-07-03,147.1
2018-07-04,147.1
2018-07-05,147.1
2018-07-06,147.1
2018-07-07,147.1
2018-07-08,147.1
2018-07-09,147.1
2018-07-10,147.1
2018-07-11,147.1
2018-07-12,147.1
2018-07-13,147.1
2018-07-14,147.1
2018-07-15,147.1
2018-07-16,147.1
2018-07-17,147.1
2018-07-18,147.1
2018-07-19,147.1
2018-07-20,147.1
2018-07-21,147.1
2018-07-22,147.1
2018-07-23,147.1
2018-07-24,147.1
2018-07-25,147.1
2018-07-26,147.1
2018-07-27,147.1
2018-07-28,147.1
2018-07-29,147.1
2018-07-30,147.1
2018-07-31,147.1
2018-08-01,147.1
2018-08-02,147.1
2018-08-03,147.1
2018-08-04,147.1
2018-08-05,147.1
2018-08-06,147.1
2018-08-07,147.1
2018-08-08,147.1
2018-08-09,147.1
2018-08-10,147.1
2018-08-11,147.1
2018-08-12,147.1
2018-08-13,147.1
2018-08-14,147.1
2018-08-15,147.1
2018-08-16,147.1
2018-08-17,147.1
2018-08-18,147.1
2018-08-19,147.1
2018-08-20,147.1
2018-08-21,147.1
2018-08-22,147.1
2018-08-23,147.1
2018-08-24,147.1
2018-08-25,147.1
2018-08-26,147.1
2018-08-27,147.1
2018-08-28,147.1
2018-08-29,147.1
2018-08-30,147.1
2018-08-31,147.1
2018-09-01,146.3
2018-09-02,146.3
2018-09-03,146.3
2018-09-04,146.3
2018-09-05,146.3
2018-09-06,146.3
2018-09-07,146.3
2018-09-08,146.3
2018-09-09,146.3
2018-09-10,146.3
2018-09-11,146.3
2018-09-12,146.3
2018-09-13,146.3
2018-09-14,146.3
2018-09-15,146.3
2018-09-16,146.3
2018-09-17,146.3
2018-09-18,146.3
2018-09-19,146.3
2018-09-20,146.3
2018-09-21,146.3
2018-09-22,146.3
2018-09-23,146.3
2018-09-24,146.3
2018-09-25,146.3
2018-09-26,146.3
2018-09-27,146.3
2018-09-28,146.3
2018-09-29,146.3
2018-09-30,146.3
2018-10-01,146.8
2018-10-02,146.8
2018-10-03,146.8
2018-10-04,146.8
2018-10-05,146.8
2018-10-06,146.8
2018-10-07,146.8
2018-10-08,146.8
2018-10-09,146.8
2018-10-10,146.8
2018-10-11,146.8
2018-10-12,146.8
2018-10-13,146.8
2018-10-14,146.8
2018-10-15,146.8
2018-10-16,146.8
2018-10-17,146.8
2018-10-18,146.8
2018-10-19,146.8
2018-10-20,146.8
2018-10-21,146.8
2018-10-22,146.8
2018-10-23,146.8
2018-10-24,146.8
2018-10-25,146.8
2018-10-26,146.8
2018-10-27,146.8
2018-10-28,146.8
2018-10-29,146.8
2018-10-30,146.8
2018-10-31,146.8
2018-11-01,146.6
2018-11-02,146.6
2018-11-03,146.6
2018-11-04,146.6
2018-11-05,146.6
2018-11-06,146.6
2018-11-07,146.6
2018-11-08,146.6
2018-11-09,146.6
2018-11-10,146.6
2018-11-11,146.6
2018-11-12,146.6
2018-11-13,146.6
2018-11-14,146.6
2018-11-15,146.6
2018-11-16,146.6
2018-11-17,146.6
2018-11-18,146.6
2018-11-19,146.6
2018-11-20,146.6
2018-11-21,146.6
2018-11-22,146.6
2018-11-23,146.6
2018-11-24,146.6
2018-11-25,146.6
2018-11-26,146.6
2018-11-27,146.6
2018-11-28,146.6
2018-11-29,146.6
2018-11-30,146.6
2018-12-01,147.3
2018-12-02,147.3
2018-12-03,147.3
2018-12-04,147.3
2018-12-05,147.3
2018-12-06,147.3
2018-12-07,147.3
2018-12-08,147.3
2018-12-09,147.3
2018-12-10,147.3
2018-12-11,147.3
2018-12-12,147.3
2018-12-13,147.3
2018-12-14,147.3
2018-12-15,147.3
2018-12-16,147.3
2018-12-17,147.3
2018-12-18,147.3
2018-12-19,147.3
2018-12-20,147.3
2018-12-21,147.3
2018-12-22,147.3
2018-12-23,147.3
2018-12-24,147.3
2018-12-25,147.3
2018-12-26,147.3
2018-12-27,147.3
2018-12-28,147.3
2018-12-29,147.3
2018-12-30,147.3
2018-12-31,147.3
2019-01-01,147.1
2019-01-02,147.1
2019-01-03,147.1
2019-01-04,147.1
2019-01-05,147.1
2019-01-06,147.1
2019-01-07,147.1
2019-01-08,147.1
2019-01-09,147.1
2019-01-10,147.1
2019-01-11,147.1
2019-01-12,147.1
2019-01-13,147.1
2019-01-14,147.1
2019-01-15,147.1
2019-01-16,147.1
2019-01-17,147.1
2019-01-18,147.1
2019-01-19,147.1
2019-01-20,147.1
2019-01-21,147.1
2019-01-22,147.1
2019-01-23,147.1
2019-01-24,147.1
2019-01-25,147.1
2019-01-26,147.1
2019-01-27,147.1
2019-01-28,147.1
2019-01-29,147.1
2019-01-30,147.1
2019-01-31,147.1
2019-02-01,147.6
2019-02-02,147.6
2019-02-03,147.6
2019-02-04,147.6
2019-02-05,147.6
2019-02-06,147.6
2019-02-07,147.6
2019-02-08,147.6
2019-02-09,147.6
2019-02-10,147.6
2019-02-11,147.6
2019-02-12,147.6
2019-02-13,147.6
2019-02-14,147.6
2019-02-15,147.6
2019-02-16,147.6
2019-02-17,147.6
2019-02-18,147.6
2019-02-19,147.6
2019-02-20,147.6
2019-02-21,147.6
2019-02-22,147.6
2019-02-23,147.6
2019-02-24,147.6
2019-02-25,147.6
2019-02-26,147.6
2019-02-27,147.6
2019-02-28,147.6
2019-03-01,148.1
2019-03-02,148.1
2019-03-03,148.1
2019-03-04,148.1
2019-03-05,148.1
2019-03-06,148.1
2019-03-07,148.1
2019-03-08,148.1
2019-03-09,148.1
2019-03-10,148.1
2019-03-11,148.1
2019-03-12,148.1
2019-03-13,148.1
2019-03-14,148.1
2019-03-15,148.1
2019-03-16,148.1
2019-03-17,148.1
2019-03-18,148.1
2019-03-19,148.1
2019-03-20,148.1
2019-03-21,148.1
2019-03-22,148.1
2019-03-23,148.1
2019-03-24,148.1
2019-03-25,148.1
2019-03-26,148.1
2019-03-27,148.1
2019-03-28,148.1
2019-03-29,148.1
2019-03-30,148.1
2019-03-31,148.1
2019-04-01,148.1
2019-04-02,148.1
2019-04-03,148.1
2019-04-04,148.1
2019-04-05,148.1
2019-04-06,148.1
2019-04-07,148.1
2019-04-08,148.1
2019-04-09,148.1
2019-04-10,148.1
2019-04-11,148.1
2019-04-12,148.1
2019-04-13,148.1
2019-04-14,148.1
2019-04-15,148.1
2019-04-16,148.1
2019-04-17,148.1
2019-04-18,148.1
2019-04-19,148.1
2019-04-20,148.1
2019-04-21,148.1
2019-04-22,148.1
2019-04-23,148.1
2019-04-24,148.1
2019-04-25,148.1
2019-04-26,148.1
2019-04-27,148.1
2019-04-28,148.1
2019-04-29,148.1
2019-04-30,148.1
2019-05-01,149.2
2019-05-02,149.2
2019-05-03,149.2
2019-05-04,149.2
2019-05-05,149.2
2019-05-06,149.2
2019-05-07,149.2
2019-05-08,149.2
2019-05-09,149.2
2019-05-10,149.2
2019-05-11,149.2
2019-05-12,149.2
2019-05-13,149.2
2019-05-14,149.2
2019-05-15,149.2
2019-05-16,149.2
2019-05-17,149.2
2019-05-18,149.2
2019-05-19,149.2
2019-05-20,149.2
2019-05-21,149.2
2019-05-22,149.2
2019-05-23,149.2
2019-05-24,149.2
2019-05-25,149.2
2019-05-26,149.2
2019-05-27,149.2
2019-05-28,149.2
2019-05-29,149.2
2019-05-30,149.2
2019-05-31,149.2
